"id"	"label"	"degree"	"community"	"group"	"gene_type"	"description"
"AT2G03505"	"AT2G03505"	2	15	15	"Target Gene"	"Carbohydrate-binding X8 domain superfamily protein"
"AT5G54960"	"PDC2"	1	5	5	"Target Gene"	"pyruvate decarboxylase-2"
"AT3G57760"	"ZRK6"	2	10	10	"Target Gene"	"Protein kinase superfamily protein"
"AT3G26600"	"ARO4"	3	1	1	"Target Gene"	"Armadillo repeat protein. One of a family of four in Arabidopsis. Expressed in vegetative tissues, anthers and ovules."
"AT1G07000"	"EXO70B2"	2	1	1	"Target Gene"	"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree."
"AT1G54740"	"AT1G54740"	4	11	11	"Target Gene"	"FANTASTIC four-like protein (DUF3049)"
"AT1G23840"	"AT1G23840"	2	1	1	"Target Gene"	"transmembrane protein"
"AT5G08760"	"STMP8"	4	10	10	"Target Gene"	"Secreted peptide which functions in plant growth and pathogen defense."
"AT1G80440"	"KMD1"	4	11	11	"Target Gene"	"Encodes a member of a family of F-box proteins, called the KISS ME DEADLY (KMD) family, that targets type-B ARR proteins for degradation and is involved in the negative regulation of the cytokinin response. Also named as KFB20, a member of a group of Kelch repeat F-box proteins that negatively regulate phenylpropanoid biosynthesis by targeting the phenypropanoid biosynthesis enzyme phenylalanine ammonia-lyase. The mRNA is cell-to-cell mobile."
"AT2G36792"	"AT2G36792"	3	2	2	"Target Gene"	"Natural antisense transcript overlaps with AT2G36790"
"AT1G70370"	"PG2"	2	6	6	"Target Gene"	"polygalacturonase 2"
"AT2G44290"	"LTPG13"	2	1	1	"Target Gene"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"AT1G55450"	"AT1G55450"	2	2	2	"Target Gene"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"AT3G52430"	"PAD4"	3	1	1	"Target Gene"	"Encodes a lipase-like gene that is important for salicylic acid signaling and function in resistance (R) gene-mediated and basal plant disease resistance. PAD4 can interact directly with EDS1, another disease resistance signaling protein. Expressed at elevated level  in response to green peach aphid (GPA) feeding, and modulates the GPA feeding-induced leaf senescence through a mechanism that doesn't require camalexin synthesis and salicylic acid (SA) signaling. Required for the ssi2-dependent heightened  resistance to GPA. The mRNA is cell-to-cell mobile."
"AT3G20600"	"NDR1"	1	1	1	"Target Gene"	"Required for non-race specific resistance to bacterial and fungal pathogens.Mediates systemic acquired resistance (SAR) response. The mRNA is cell-to-cell mobile."
"AT5G01820"	"SR1"	3	16	16	"Target Gene"	"Encodes a CBL-interacting serine/threonine protein kinase."
"AT4G22530"	"AT4G22530"	2	4	4	"Target Gene"	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"AT2G39330"	"JAL23"	1	5	5	"Target Gene"	"jacalin-related lectin 23"
"AT5G52050"	"DTX50"	1	1	1	"Target Gene"	"MATE efflux family protein"
"ATCG00710"	"PSBH"	1	10	10	"Target Gene"	"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII."
"AT3G12540"	"AT3G12540"	1	6	6	"Target Gene"	"ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)"
"AT3G07800"	"TK1A"	3	4	4	"Target Gene"	"Encodes a thymidine kinase that salvages DNA precursors."
"AT1G19960"	"AT1G19960"	2	1	1	"Target Gene"	"Unknown gene, expression decreased in response to Mn and increased by cytokinin."
"AT5G59030"	"COPT1"	1	4	4	"Target Gene"	"encodes a putative copper transport protein that contains copper-binding motif and functionally complements in copper-transport defective yeast strains"
"AT1G35230"	"AGP5"	2	1	1	"Target Gene"	"Encodes arabinogalactan-protein (AGP5). The mRNA is cell-to-cell mobile."
"AT4G38860"	"SAUR16"	1	2	2	"Target Gene"	"SAUR-like auxin-responsive protein family"
"AT5G27360"	"SFP2"	1	1	1	"Target Gene"	"Encodes a sugar-porter family protein that unlike the closely related gene, SFP1, is not induced during leaf senescence."
"AT3G14660"	"CYP72A13"	3	6	6	"Target Gene"	"putative cytochrome P450 The mRNA is cell-to-cell mobile."
"AT5G60780"	"NRT2.3"	1	16	16	"Target Gene"	"member of High affinity nitrate transporter family"
"AT4G03450"	"AT4G03450"	2	1	1	"Target Gene"	"Ankyrin repeat family protein"
"AT3G45640"	"MPK3"	2	2	2	"Target Gene"	"Encodes a mitogen-activated kinase whose mRNA levels increase in response to touch, cold, salinity stress and chitin oligomers.Also functions in ovule development. Heterozygous MPK3 mutants in a homozygous MPK6 background are female sterile due to defects in integument development. MPK3 can be dephosphorylated by MKP2 in vitro. The mRNA is cell-to-cell mobile."
"AT3G17700"	"CNBT1"	3	1	1	"Target Gene"	"cyclic nucleotide-binding transporter 1, member of a family  of cyclic nucleotide gated channels. The mRNA is cell-to-cell mobile."
"AT5G61560"	"AT5G61560"	2	5	5	"Target Gene"	"U-box domain-containing protein kinase family protein"
"AT4G36410"	"UBC17"	1	7	7	"Target Gene"	"ubiquitin-conjugating enzyme"
"AT5G15960"	"KIN1"	1	5	5	"Target Gene"	"cold and ABA inducible protein kin1, possibly functions as an anti-freeze protein. Transcript level of this gene is induced by cold, ABA, dehydration and osmoticum (mannitol). However, protein activity of GUS fused to the promoter of this gene is inhibited by cold treatment, suggesting an inhibition of the protein by increased transcript level."
"AT5G22920"	"RZPF34"	3	11	11	"Target Gene"	"Encodes a protein with sequence similarity to RING, zinc finger proteins. Loss of function mutations show reduced (15%) stomatal aperture under non stress conditions."
"AT2G39400"	"MAGL6"	1	11	11	"Target Gene"	"alpha/beta-Hydrolases superfamily protein"
"AT4G22690"	"CYP706A1"	1	2	2	"Target Gene"	"member of CYP706A The mRNA is cell-to-cell mobile."
"AT4G31354"	"AT4G31354"	1	16	16	"Target Gene"	"This gene encodes a small protein and has either evidence of transcription or purifying selection. The mRNA is cell-to-cell mobile."
"AT4G17840"	"BCM4"	2	6	6	"Target Gene"	"CAAX protease self-immunity protein"
"AT5G64770"	"RGF9"	1	10	10	"Target Gene"	"Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9)."
"AT2G39210"	"PIC30"	4	1	1	"Target Gene"	"Major facilitator superfamily protein"
"AT5G21940"	"AT5G21940"	2	11	11	"Target Gene"	"hybrid signal transduction histidine kinase M-like protein"
"AT2G43510"	"TI1"	3	6	6	"Target Gene"	"Member of the defensin-like (DEFL) family. Encodes putative trypsin inhibitor protein which may function in defense against herbivory."
"AT3G20340"	"AT3G20340"	1	1	1	"Target Gene"	"Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress."
"AT3G25570"	"SAMDC3"	4	15	15	"Target Gene"	"Adenosylmethionine decarboxylase family protein"
"AT1G02335"	"GL22"	1	3	3	"Target Gene"	"Encodes a plasodesmata-located protein involved in regulating primary root growth by controlling phloem-mediated allocation of resources between the primary and lateral root meristems."
"AT2G29090"	"CYP707A2"	1	6	6	"Target Gene"	"Encodes a protein with ABA 8'-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family. This gene predominantly accumulates in dry seeds and is up-regulated immediately following imbibition. CYP707A2 appears to play a major role in the rapid decrease in ABA levels during early seed imbibition."
"AT1G11050"	"AT1G11050"	3	2	2	"Target Gene"	"Protein kinase superfamily protein"
"AT1G06350"	"ADS4"	1	5	5	"Target Gene"	"Fatty acid desaturase family protein"
"AT3G11010"	"RLP34"	5	1	1	"Target Gene"	"receptor like protein 34"
"AT3G26830"	"PAD3"	2	1	1	"Target Gene"	"Mutations in pad3 are defective in biosynthesis of the indole derived phytoalexin camalexin. Encodes a cytochrome P450 enzyme that catalyzes the conversion of dihydrocamalexic acid to camalexin. The mRNA is cell-to-cell mobile."
"AT2G34430"	"LHB1B1"	1	15	15	"Target Gene"	"Photosystem II type I chlorophyll            a/b-binding protein The mRNA is cell-to-cell mobile."
"AT4G26530"	"FBA5"	2	10	10	"Target Gene"	"Aldolase superfamily protein"
"AT4G15233"	"ABCG42"	2	1	1	"Target Gene"	"ABC-2 and Plant PDR ABC-type transporter family protein"
"AT4G24230"	"ACBP3"	5	11	11	"Target Gene"	"acyl-CoA-binding protein ACBP3. Localized  extracellularly in transiently expressed tobacco BY-2  cells and onion epidermal cells. Binds arachidonyl-CoA with high  affinity. Microarray data shows up-regulation of many biotic- and abiotic-stress-related genes in an ACBP3 OE-1 in comparison to wild type."
"AT4G36430"	"AT4G36430"	1	9	9	"Target Gene"	"Peroxidase superfamily protein"
"AT2G04495"	"AT2G04495"	2	1	1	"Target Gene"	"transmembrane protein"
"AT4G34135"	"UGT73B2"	3	6	6	"Target Gene"	"The At4g34135 gene encodes a flavonol 7-O-glucosyltransferase (EC 2.4.1.237) that glucosylates also with a 20 fold lower activity flavonols (kaempferol and quercetin) at the 3-O-position."
"AT1G02920"	"GSTF7"	2	1	1	"Target Gene"	"Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT4G12870"	"AT4G12870"	1	7	7	"Target Gene"	"Gamma interferon responsive lysosomal thiol (GILT) reductase family protein"
"AT3G50950"	"ZAR1"	5	1	1	"Target Gene"	"Encodes a canonical CC-type NLR protein that is required for the recognition of the T3SE HopZ1a as well as several other Hop effectors from the pathogenic bacteria P. syringae."
"AT1G05675"	"AT1G05675"	3	1	1	"Target Gene"	"UDP-Glycosyltransferase superfamily protein"
"AT3G16210"	"AT3G16210"	2	9	9	"Target Gene"	"F-box family protein"
"AT3G13750"	"BGAL1"	1	11	11	"Target Gene"	"beta-galactosidase, glycosyl hydrolase family 35 The mRNA is cell-to-cell mobile."
"AT5G17990"	"TRP1"	2	1	1	"Target Gene"	"Encodes the tryptophan biosynthetic enzyme phosphoribosylanthranilate transferase  (PAT1, called trpD in bacteria). Converts anthranilate and phosphoribosylpyrophosphate into phosphoribosylanthranilate and inorganic pyrophosphate. The mRNA is cell-to-cell mobile."
"AT1G67150"	"AT1G67150"	1	17	17	"Target Gene"	"transmembrane protein, putative (DUF247)"
"AT3G15460"	"ATBRX1-1"	1	11	11	"Target Gene"	"Encodes one of two Arabidopsis orthologs of yeast BRX1, a protein involved in maturation of the large ribosomal subunit.  The proteins are mainly localized in nucleolus.  Mutant plants are affected in pre-rRNA processing."
"AT1G70320"	"UPL2"	4	4	4	"Target Gene"	"encodes a ubiquitin-protein ligase-like protein containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis."
"AT4G01080"	"TBL26"	3	15	15	"Target Gene"	"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. Functions as a mannan O-acetyltransferase, catalyzing the 2-O and 3-O-monoacetylation of mannosyl residues A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
"AT4G17245"	"ATL18"	4	11	11	"Target Gene"	"RING/U-box superfamily protein"
"AT1G66920"	"AT1G66920"	1	10	10	"Target Gene"	"Protein kinase superfamily protein"
"AT2G05380"	"GRP3S"	3	6	6	"Target Gene"	"glycine-rich protein 3 short isoform (GRP3S) mRNA, complete The mRNA is cell-to-cell mobile."
"AT5G20190"	"AT5G20190"	2	11	11	"Target Gene"	"Tetratricopeptide repeat (TPR)-like superfamily protein"
"AT4G11890"	"ARCK1"	2	1	1	"Target Gene"	"Encodes a receptor-like cytosolic kinase ARCK1. Negatively controls abscisic acid and osmotic stress signal transduction."
"AT3G04000"	"AT3G04000"	2	6	6	"Target Gene"	"ChlADR is an aldehyde reductase that catalyzes the reduction of the aldehyde carbonyl groups on saturated and alpha,beta-unsaturated aldehydes with more than 5 carbons in vitro. The N-terminal region of this protein directs GFP to the chloroplast where where ChlADR likely helps to maintain the photosynthetic process by detoxifying reactive carbonyls formed during lipid peroxidation. In addition, this enzyme can also reduce cis-3-hexenal, a major plant volatile compound that contributes to green leaf odor, as well as methylglyoxal in vitro."
"AT1G73655"	"AT1G73655"	1	18	18	"Target Gene"	"FKBP-like peptidyl-prolyl cis-trans isomerase family protein"
"AT3G26230"	"CYP71B24"	2	1	1	"Target Gene"	"putative cytochrome P450"
"AT2G10940"	"AT2G10940"	3	16	16	"Target Gene"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"AT5G16030"	"AT5G16030"	1	15	15	"Target Gene"	"mental retardation GTPase activating protein"
"AT2G24600"	"AT2G24600"	1	2	2	"Target Gene"	"Ankyrin repeat family protein"
"AT2G13790"	"SERK4"	2	1	1	"Target Gene"	"somatic embryogenesis receptor-like kinase 4"
"AT2G31865"	"ADP-RIBOSE"	4	1	1	"Target Gene"	"poly(ADP-ribose) glycohydrolase 2"
"AT2G38170"	"CAX1"	2	4	4	"Target Gene"	"Encodes a high affinity vacuolar calcium antiporter.  The residue His 338 is critical to Ca2+ transport activity. Disruption of CAX1 reduces manganese and zinc of shoot tissue and results in a decrease in the activity of vacuolar V-type proton ATPase."
"AT1G50040"	"AT1G50040"	1	13	13	"Target Gene"	"formin-like protein, putative (DUF1005)"
"AT5G13370"	"GH3.15"	2	6	6	"Target Gene"	"IBA - specific acyl acid amido synthetase which conjugates glutamine to IBA. It is involved in generating inactive and/or storage forms of IBA in the seedling, root, and silique. May play a role in auxin homeostasis by modulating the levels of IBA for peroxisomal conversion to IAA."
"AT4G03400"	"DFL2"	1	7	7	"Target Gene"	"Encodes a GH3-related gene involved in red light-specific hypocotyl elongation.  Analysis of sense and antisense transgenic plants suggests that DFL2 is located downstream of red light signal transduction and determines the degree of hypocotyl elongation."
"AT5G52750"	"AT5G52750"	2	1	1	"Target Gene"	"Heavy metal transport/detoxification superfamily protein"
"AT5G11740"	"AGP15"	2	14	14	"Target Gene"	"Encodes arabinogalactan protein (AGP15). The mRNA is cell-to-cell mobile."
"AT2G29420"	"GSTU7"	2	6	6	"Target Gene"	"Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002). Induced by Salicylic acid. Independent of NPR1 for their induction by salicylic acid."
"AT5G57710"	"SMAX1"	2	2	2	"Target Gene"	"SMAX1 (SUPPRESSOR OF MAX2 1) is a member of an eight-gene family in Arabidopsis that has weak similarity to AtHSP101, a ClpB chaperonin required for thermotolerance. SMAX1 is an important component of KAR/SL signaling during seed germination and seedling growth, but is not necessary for all MAX2-dependent responses. The mRNA is cell-to-cell mobile."
"AT2G17740"	"VLG"	1	3	3	"Target Gene"	"VACUOLELESS GAMETOPHYTES (VLG) as a DC1 domain containing protein that is found in the  endomembrane system. It is  essential for both female and male gametophyte development."
"AT5G24160"	"SQE6"	2	10	10	"Target Gene"	"squalene monooxygenase 6"
"AT4G15670"	"GRXS7"	3	11	11	"Target Gene"	"Encodes a member of the CC-type glutaredoxin (ROXY) family."
"AT2G23200"	"AT2G23200"	2	1	1	"Target Gene"	"Protein kinase superfamily protein"
"AT4G23220"	"RECEPTOR-LIKE PROTEIN KINASE"	3	1	1	"Target Gene"	"Encodes a cysteine-rich receptor-like protein kinase."
"AT2G40000"	"HSPRO2"	4	11	11	"Target Gene"	"ortholog of sugar beet HS1 PRO-1 2"
"AT1G17610"	"CHS1"	1	1	1	"Target Gene"	"TN-type protein that controls temperature-dependent growth and defense responses .Mutant accumulates steryl-esters at low temperatures and shows temperature dependent activation of defense responses.."
"AT1G73780"	"AT1G73780"	1	19	19	"Target Gene"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"AT3G59030"	"TT12"	1	4	4	"Target Gene"	"Encodes a proton antiporter. Involved in the transportation of proanthocyanidin precursors into the vacuole. In vitro transport experiments showed that cyanidin-3-O-glucoside (anthocyanin) was an effective substrate, whereas the proanthocyanidin precursor epicatechin was not transported. However catechin-3-O-glucoside inhibited anthocyanin transport in a dose-dependent manner suggesting that glycosylated epicatechin is the in vivo substrate. Recessive mutation has strong reduction of proanthocyanidin deposition in vacuoles and has reduced dormancy. Expressed in the endothelium of ovules and developing seeds."
"AT5G42650"	"AOS"	4	15	15	"Target Gene"	"Encodes a member of the  cytochrome p450 CYP74 gene family that functions as an allene oxide synthase. This enzyme catalyzes dehydration of the hydroperoxide to an unstable allene oxide in the JA biosynthetic pathway. It shows a dual catalytic activity, the major one being a 13-AOS but also expressing a 9-AOS activity.  CFA-Leu, CFA-Val, CFA-Met and CFA-Ala can induce the expression of AOS."
"AT5G58650"	"PSY1"	2	14	14	"Target Gene"	"Encodes PSY1, an18-aa tyrosine-sulfated glycopeptide that promotes cellular proliferation and expansion. PSY1 is widely expressed in various tissues, including shoot apical meristem, and is highly up-regulated by wounding. Perception of PSY1 depends on At1g72300, a leucine-rich repeat receptor kinase (LRR-RK)."
"AT5G17000"	"AT5G17000"	2	6	6	"Target Gene"	"Zinc-binding dehydrogenase family protein"
"AT1G31540"	"AT1G31540"	4	1	1	"Target Gene"	"Disease resistance protein (TIR-NBS-LRR class) family"
"AT1G35140"	"PHI-1"	2	11	11	"Target Gene"	"EXL1 is involved in the C-starvation response. Phenotypic changes of an exl1 loss of function mutant became evident only under corresponding experimental conditions. For example, the mutant showed diminished biomass production in a short-day/low light growth regime, impaired survival during extended night, and impaired survival of anoxia stress."
"AT2G38400"	"AGT3"	1	2	2	"Target Gene"	"alanine:glyoxylate aminotransferase 2 homolog (AGT3) mRNA,"
"AT3G17690"	"CNGC19"	1	1	1	"Target Gene"	"member of Cyclic nucleotide gated channel family"
"AT3G10040"	"HRA1"	4	2	2	"Target Gene"	"Encodes HRA1 (HYPOXIA RESPONSE ATTENUATOR1), a low oxygen-inducible transcription factor."
"AT1G24530"	"AT1G24530"	1	7	7	"Target Gene"	"Transducin/WD40 repeat-like superfamily protein"
"AT5G22270"	"SIED1"	3	11	11	"Target Gene"	"hypothetical protein"
"AT4G01330"	"AT4G01330"	1	11	11	"Target Gene"	"Protein kinase superfamily protein"
"AT5G53550"	"YSL3"	2	1	1	"Target Gene"	"YELLOW STRIPE like 3"
"AT5G41080"	"GDPD2"	3	11	11	"Target Gene"	"Encodes a member of the glycerophosphodiester phosphodiesterase (GDPD) family."
"AT4G33050"	"EDA39"	1	2	2	"Target Gene"	"Encodes a calmodulin-binding protein involved in stomatal movement."
"AT2G27500"	"AT2G27500"	2	2	2	"Target Gene"	"Glycosyl hydrolase superfamily protein"
"AT4G18010"	"1,4,5"	3	6	6	"Target Gene"	"Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays."
"AT4G27830"	"BGLU10"	3	6	6	"Target Gene"	"Encodes a beta-glucosidase that may be responsible for acyl-glucose-dependent anthocyanin glucosyltransferase activity in Arabidopsis.  In vitro efforts to demonstrate AAGT activity for BGLU10 have been unsuccessful but experiments with mutants in this gene suggest at least an indirect involvement in anthocyanin formation."
"AT1G24145"	"AT1G24145"	5	1	1	"Target Gene"	"transmembrane protein"
"AT1G66540"	"AT1G66540"	3	6	6	"Target Gene"	"Cytochrome P450 superfamily protein"
"AT1G65484"	"STMP3"	2	7	7	"Target Gene"	"Secreted peptide which functions in plant growth and pathogen defense."
"AT3G51860"	"CAX3"	1	9	9	"Target Gene"	"cation exchanger 3"
"AT1G76650"	"CML38"	4	2	2	"Target Gene"	"calmodulin-like 38"
"AT3G15200"	"AT3G15200"	2	4	4	"Target Gene"	"Tetratricopeptide repeat (TPR)-like superfamily protein"
"AT4G20040"	"AT4G20040"	2	1	1	"Target Gene"	"Pectin lyase-like superfamily protein"
"AT5G60250"	"AT5G60250"	1	4	4	"Target Gene"	"zinc finger (C3HC4-type RING finger) family protein"
"AT5G48010"	"THAS1"	2	6	6	"Target Gene"	"Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism."
"AT1G08450"	"CRT3"	5	1	1	"Target Gene"	"Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels. Non-receptor component required for EFR-mediated immunity. Mutants show de-repressed anthocyanin accumulation in the  presence of elf18, and EFR accumulation and signalling."
"AT4G32480"	"AT4G32480"	3	11	11	"Target Gene"	"sugar phosphate exchanger, putative (DUF506)"
"AT4G12830"	"AT4G12830"	1	10	10	"Target Gene"	"alpha/beta-Hydrolases superfamily protein"
"AT5G62670"	"+"	1	6	6	"Target Gene"	"H[+]-ATPase 11"
"AT1G05560"	"UGT75B1"	3	6	6	"Target Gene"	"A UDP-glucose transferase localized in the phragmoplast.  It has been co-purified with the callose synthase complex and may transfer UDP-glucose from sucrose synthase to the callose synthase and thus help form a substrate channel for the synthesis of callose at the forming cell plate. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid. UGT1 encodes a protein with glucosyltransferase activity with high sequence homology to UGT2 (AT1G05530). It belongs to an UGT subfamily that binds UDP-glucose but not UDP-glucuronate, UDP-galactose, or UDP-rhamnose as the glycosyl donor. UGT1 was shown to be able to use abscisic acid as glycosylation substrate in the presence of UDP-glucose. UGT1/UGT75B1 catalyzes the formation of the p-aminobenzoate-glucose ester in vitro and in vivo. It appears to be the enzyme predominantly responsible for pABA-Glc formation in Arabidopsis based on assays in leaves, flowers, and siliques."
"AT3G61060"	"PP2-A13"	3	11	11	"Target Gene"	"phloem protein 2-A13"
"AT2G30210"	"LAC3"	1	6	6	"Target Gene"	"putative laccase, a member of laccase family of genes (17 members in Arabidopsis)."
"AT5G25280"	"AT5G25280"	4	11	11	"Target Gene"	"serine-rich protein-like protein"
"ATCG00490"	"RBCL"	1	10	10	"Target Gene"	"large subunit of RUBISCO. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds."
"AT4G14060"	"AT4G14060"	1	9	9	"Target Gene"	"Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"AT4G11280"	"ACC"	2	2	2	"Target Gene"	"encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family The mRNA is cell-to-cell mobile."
"AT4G22610"	"AT4G22610"	3	6	6	"Target Gene"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"AT1G07610"	"MT1C"	1	15	15	"Target Gene"	"one of the five metallothioneins (MTs) genes identified in Arabidopsis. MTs are cysteine-rich proteins required for heavy metal tolerance. The mRNA is cell-to-cell mobile."
"AT3G62950"	"GRXC11"	5	11	11	"Target Gene"	"Encodes a member of the CC-type glutaredoxin (ROXY) family that has been shown to interact with the transcription factor TGA2 and suppress ORA59 promoter activity."
"AT1G30280"	"AUXILIN-LIKE7"	1	16	16	"Target Gene"	"Chaperone DnaJ-domain superfamily protein"
"AT1G02610"	"AT1G02610"	5	11	11	"Target Gene"	"RING/FYVE/PHD zinc finger superfamily protein"
"AT3G27150"	"AT3G27150"	2	4	4	"Target Gene"	"Target gene of MIR2111-5p."
"AT4G14690"	"ELIP2"	1	2	2	"Target Gene"	"Encodes an early light-induced protein. ELIPs are thought not to be directly involved in the synthesis and assembly of specific photosynthetic complexes, but rather affect the biogenesis of all chlorophyll-binding complexes. A study (PMID 17553115) has shown that the chlorophyll synthesis pathway was  downregulated as a result of constitutive ELIP2 expression, leading to decreased chlorophyll availability for the assembly  of pigment-binding proteins for photosynthesis."
"AT1G23000"	"AT1G23000"	1	19	19	"Target Gene"	"Heavy metal transport/detoxification superfamily protein"
"AT5G26280"	"AT5G26280"	3	6	6	"Target Gene"	"TRAF-like family protein"
"AT2G17120"	"LYP1"	3	1	1	"Target Gene"	"Induction of chitin-responsive genes by chitin treatment is not blocked in the mutant. It contains a C-terminal GPI anchor signal and is an ortholog of OsCEBiP."
"AT4G02850"	"DAAR1"	1	18	18	"Target Gene"	"DAAR1 encodes a PLP-independent racemase that catalyzes the conversion from L-Ile to D-allo-Ile."
"AT4G23290"	"RECEPTOR-LIKE PROTEIN KINASE"	3	1	1	"Target Gene"	"Encodes a cysteine-rich receptor-like protein kinase."
"AT5G54170"	"AT5G54170"	1	11	11	"Target Gene"	"Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"AT5G33290"	"XGD1"	2	6	6	"Target Gene"	"Acts as a xylogalacturonan xylosyltransferase within the XGA biosynthesis pathway. Involved in pectin biosynthesis."
"AT5G03780"	"TRFL10"	3	6	6	"Target Gene"	"Encodes a protein whose sequence is similar to human telomere proteins. This belongs to TRFL family 2, which do not show DNA binding in vitro."
"AT5G38990"	"MDS1"	3	1	1	"Target Gene"	"Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth."
"AT5G48720"	"XRI1"	3	6	6	"Target Gene"	"Encodes XRI1 (X-ray induced 1). Required for post-meiotic stages of pollen development and male and female meiosis. Maybe required for meiotic DNA repair. Inducible by X-ray.  Homozygous xri1 mutants are sterile due to extensive chromosome fragmentation."
"AT3G61280"	"AT3G61280"	2	2	2	"Target Gene"	"O-glucosyltransferase rumi-like protein (DUF821)"
"AT5G24770"	"VSP2"	4	4	4	"Target Gene"	"Has acid phosphatase activity dependent on the presence of divalent cations (Mg2+, Co2+, Zn2+, Mn2+) and anti-insect activity. Insects fed with the protein show a retarded development. Induced in response to abscisic acid, jasmonic acid, salt, water deficiency and wounding."
"AT4G19430"	"AT4G19430"	1	13	13	"Target Gene"	"hypothetical protein"
"AT5G20250"	"DIN10"	4	11	11	"Target Gene"	"encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell. The mRNA is cell-to-cell mobile."
"AT1G76930"	"EXT4"	3	7	7	"Target Gene"	"Encodes an Arabidopsis extensin gene that belongs to cell-wall hydroxyproline-rich glycoproteins.  The cross-link of extensins enforces cell wall strength. Transgenic plants overexpressing this gene show an increase in stem thickness."
"AT5G17700"	"AT5G17700"	1	10	10	"Target Gene"	"MATE efflux family protein"
"AT2G20700"	"LLG2"	1	5	5	"Target Gene"	"LLG2/3 are involved in regulation of pollen tube growth by trafficking of ANX/BUPS to the apical PM of pollen tubes. In the PM they function as co-receptors  with ANX/BUPS to regulate ROS production."
"AT1G07135"	"AT1G07135"	3	2	2	"Target Gene"	"glycine-rich protein"
"AT1G26380"	"FOX1"	5	2	2	"Target Gene"	"Functions in the biosynthesis of 4-hydroxy indole-3-carbonyl nitrile (4-OH-ICN), a cyanogenic phytoalexin in Arabidopsis. FOX1 acts as a dehydrogenase on indole cyanohydrin to form indole carbonyl nitrile."
"AT4G14365"	"XBAT34"	5	1	1	"Target Gene"	"hypothetical protein"
